SKU;BRAND;MODEL SEIRES;DESCRIPTION;RSP;2025-05-07 00:00:00.1;COST INC VAT
COMAUD013;AUDIOCENTER;GIG RIG 3;"4700W RMS- 3-way active combo system Easy set-up & strike-down Portable- ideal for all mobile applications Indoor audience of 500 people 2 x Audiocenter SA312+ full-range 350W 2 x Audiocenter SA3218A- dual 18""- 2000W bass Cabling & poles included";68299;1+;56915
COMAUD014;AUDIOCENTER;GIG RIG 4;"4900W RMS- 3-way active combo system Easy set-up & strike-down Portable ideal for all mobile applications Indoor audience of 600 people 2 x Audiocenter SA315+ full-range 450W 2 x Audiocenter SA3218A- dual 18""- 2000W bass Cabling & poles included";70351;1+;58625
COMHYB001;HYBRID;PARTY BOX12;"2 x 12"" active speakers- stands- mic & cables pack";7257;1+;6047
COMHYB002;HYBRID;PARTY BOX15;"2 x 15"" active speakers- stands- mic & cables pack";8137;1+;6780
COMHYB004;HYBRID;PARTY SUB18;"18"" Active- sub-bass speaker Developed to pair w the Party in a Box & Party Starter when low-bass is required Wooden w carpet finish Input Conn: XLR Female panel mount input with XLR Male panel mount loop-thru LF: 18""- 4Ohm- 300W RMS- 3Ω VC";6240;1+;5200
COMHYB005;HYBRID;PARTY STARTER15;"1x15"" active/1x15""passive-stands-mic & cables pack";7101;1+;5917
COMHYB006;HYBRID;LS18A COMBO;"18"" (LS18A) with line array (L6A/L6P) combo 2 x LS18A- 18"" active bass- 1000W each w DSP 2 x L6A- dual 6"" active line array- 240W each w DSP 2 x L6P- dual 6"" passive line array- 240W each 2 x L6 fly-fames 2 x poles Cables included Sys pow: 5000W prog";32160;1+;26800
COMHYB007;HYBRID;LS218A COMBO;"(LS218A) with line array (L6A/L6P) combo 2 x LS218A- dual 18"" active bass- 2000W w DSP 2 x L6A- dual 6"" active line array- 240W each w DSP 4 x L6P- dual 6"" passive line array- 240W each 2 x L6 fly-fames 2 x poles Cables included Sys pow: 9500W prog";47995;1+;39995
COMHYB008;HYBRID+;PK218UE/PLA10 COMBO;"5600W RMS system Easy set-up & strike-down. Accommodates an indoor audience of 1500 people. 2 x Hybrid+ PK218UE- Dual 18""- 2000W sub-bass 4 x Hybrid+ PLA10- 10"" - 400W line-array cabinets 1 x A4000 & 1 x A2400 DSP amps Flightcase & cabling incl";107401;SS;89500
COMHYB011;HYBRID;LS18A/PA12DSP COMBO;2 x PA12DSP- 2 x LS18A Active combo- 3000W;28800;1+;24000
COMHYB012;HYBRID;LS218A/PA12DSP COMBO;2 x PA12DSP- 2 x LS218A Active combo- 5000W;40201;1+;33500
COMHYB013;HYBRID;LS18A/PA15DSP COMBO;2 x PA15DSP- 2 x LS18A Active combo- 3000W;29400;1+;24500
COMHYB014;HYBRID;LS218A/PA15DSP COMBO;2 x PA15DSP- 2 x LS218A Active combo- 5000W;41400;1+;34500
CONHYB001;HYBRID;CONN-SPK(BAR)-4P-2PC;Speakon 4 pole barrel connectors. 2Pcs blister pack / Suitable for pegboard display;76;<1;63
CONHYB003;HYBRID;CONN-X(M)-X(F)-WP;One XLR Male & one XLR Female waterproof inline connectors in a blister pack;72;1+;60
CONHYB004;HYBRID;CONN-POW(B)-2PC;Power-in (Blue) inline connectors. 2Pcs blister pack / Suitable for pegboard display;76;<1;63
CONHYB005;HYBRID;CONN-POW(W)-2PC;Power-out (White) inline connectors. 2Pcs blister pack / Suitable for pegboard;76;<1;63
CONHYB006;HYBRID;CONN-SPK(CHA)-4P-2PC;Speakon 4 pole panel mount connectors. 2Pcs blister pack / Suitable for pegboard;35;1+;29
CONHYB007;HYBRID;CONN-SPK(IL)-4P-2PC;Speakon 4 pole inline connectors. 2Pcs blister pack / Suitable for pegboard display;62;1+;51
CONHYB008;HYBRID;CONN-XLR(M)-2PC;XLR Male inline connectors. 2 Pcs blister pack / Suitable for pegboard display;52;1+;43
CONHYB009;HYBRID;CONN-XLR(F)-2PC;XLR Female inline connectors. 2 Pcs blister pack / Suitable for pegboard display;56;1+;46
CONHYB010;HYBRID;CONN-JACK(M)-90D-2PC;Jack mono 6.5mm inline connectors. 90° angled. 2 Pcs blister pack;49;1+;40
CONHYB011;HYBRID;CONN-JACK(S)-2PC;Jack stereo 6.5mm inline connectors. 2 Pcs blister pack / Suitable for pegboard;58;1+;48
CONHYB012;HYBRID;CONN-JACK(M)-2PC;Jack mono 6.5mm inline connectors. 2 Pcs blister pack / Suitable for pegboard;53;1+;44
CONHYB014;HYBRID;CONN-SPK(IL)-8P-1PC;Speakon 8 pole inline connector. 1Pc blister pack / Suitable for pegboard display;58;1+;48
CONHYB015;HYBRID DJ;HMC2;2 ch DJ controller- virtual DJ (DJ8 - home edd) incl;3721;1+;3100
CONHYB016;HYBRID DJ;HMC4;4 ch DJ controller- virtual DJ (DJ8 - home edd) incl;4080;1+;3400
DIABEY001;BEYMA;CP750/TI-DK;Diaphragm kit for Beyma CP750/TI- 8Ω;1570;1+;1308
DIABEY006;BEYMA;T2010-DK;Diaphragm kit for Beyma T2010- 8Ω;828;1+;690
DIABEY008;BEYMA;SMC280ST-DK;Diaphragm kit for Beyma SMC280ST- 8Ω;875;1+;729
DIABEY011;BEYMA;CP650/TI-DK;Diaphragm kit for Beyma CP650/TI- 8Ω;2448;1+;2040
DIABEY014;BEYMA;SMC60/65/ND-DK;Diaphragm kit for Beyma SMC-60- SMC-65Nd- SMC-65- 8Ω;1027;1+;855
DIACEL001;CELTO;FCD440-8-DK;Diaphragm kit for FCD440-8 (iFIX8- FT12- FT15- A8- A10- A12);291;1+;242
