"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"ADA-SLED1PRO","SLED1PRO","Adam Hall Stands SLED1PRO - LED Light for Music Stand","1","R 288.00"
"HER-KS120B","PSAKX0000042","Hercules Stands KS120B EZ-LOK Double X Keyboard Stand","60","R 1,054.00"
"HER-KS210B","PSAKX0000053","Hercules Stands KS210B EZ-LOK Double Tier X Keyboard Stand","7","R 1,833.00"
"HER-KS400B","PSAKX0000058","Hercules Stands KS400B AutoLock Z Keyboard Stand","19","R 2,208.00"
"HER-KS410B","PSAKX0000062","Hercules Stands KS410B AutoLock Z Keyboard Stand w/ Tier","20","R 3,069.00"
"HER-DS440B","PSADX0000114","Hercules Stands DS440B TravLite Clarinet Stand","36","R 406.00"
"HER-DS460B","PSADX0000118","Hercules Stands DS460B TravLite Flute Stand","34","R 406.00"
"HER-DS461B","PSADX0000122","Hercules Stands DS461B TravLite Low-B Flute Stand","23","R 446.00"
"HER-DS501B","PSTZX0000010","Hercules Stands DS501B Peg for Trumpet/Cornet","6","R 183.00"
"HER-DS503B","PSTZX0000013","Hercules Stands DS503B Peg for Soprano Sax/Flugelhorn","35","R 183.00"
"HER-DSP57SB","PSAPX0000005","Hercules Stands DSP57SB Auto Grip Violin Hanger for Slat Wall (w/ 16 mm Insertion)","30","R 355.00"
"HER-DSP57WB","PSAPX0000008","Hercules Stands DSP57WB Auto Grip Violin Hanger for Wall Mounting w/ Wood Base","31","R 355.00"
"HER-FS100B","PSAZX0000009","Hercules Stands FS100B Foot Rest","46","R 254.00"
"HER-GS200B","PSAGX0000122","Hercules Stands GS200B EZ Pack Guitar Stand","105","R 335.00"
"HER-GS301B","PSAGX0000114","Hercules Stands GS301B TravLite Acoustic Guitar Stand","80","R 375.00"
"HER-SS350B","PSAHX0000045","Hercules Stands SS350B Adjustable Subwoofer Pole With M20 Hybrid Adaptor","0","R 760.00"
"HER-SS350BB","PSAHX0000042","Hercules Stands SS350BB Adjustable Subwoofer Pole With M20 Hybrid Adaptor 2-Pack including bag","33","R 1,773.00"
"HER-SS400B","PSAHX0000016","Hercules Stands SS400B AutoLock Speaker Stand w/ Adaptor","9","R 1,570.00"
"HER-SS410B","PSAHX0000019","Hercules Stands SS410B AutoLock Speaker Stand w/ EZ Adaptor","1","R 1,813.00"
"HER-SS700B","PSAHX0000028","#Hercules Stands SS700B Gear Up Speaker Stand w/ Adaptor","8","R 3,737.00"
"HER-SS710B","PSAHX0000031","Hercules Stands SS710B Gear Up Speaker Stand w/ EZ Adaptor","11","R 3,980.00"
"HER-DS580B","PSAGX0000182","Hercules Stands DS580B Auto Grip Cello Stand","10","R 1,084.00"
"HER-DS590B","PSAGX0000187","Hercules Stands DS590B Double Bass Stand","1","R 1,367.00"
"HER-DS602B","PSTZX0000024","Hercules Stands DS602B Peg for Deluxe Clarinet/Flute","9","R 173.00"
"HER-DS630BB","PSADX0000176","Hercules Stands DS630BB Auto Grip Alto/Tenor SAX Stand w/ Bag","39","R 578.00"
"HER-DS640BB","PSADX0000180","Hercules Stands DS640BB (GENERAL),Deluxe Flute/Clarinet/Oboe Stand w/ Bag","23","R 416.00"
"HER-DS730B","PSADX0000184","Hercules Stands DS730B Auto Grip Alto/Tenor SAX Stand (Tall)","35","R 871.00"
"HER-GSP38WBRPLUS","GSP38WBR PLUS","Hercules Stands GSP38WBR PLUS Auto Grip Guitar Hanger for Wall Mounting w/ Burgundy Red Wood Base, Short Arm","60","R 294.00"
"HER-GSP38WBWPLUS","PSAPX0000106","Hercules Stands GSP38WBW PLUS Auto Grip Guitar Hanger for Wall Mounting w/ Brown Wood Base, Short Arm","43","R 294.00"
