"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"AMP-AC-HDMI-RRB","AC-HDMI-RRB","Amphenol HDMI-HDMI Feedthrough D Type panel mount (Black)","0","R 195.00"
"AMP-ACJD-BLK","ACJD-BLK","Amphenol RCA, chassis mount, gold plated contacts,black insulator","150","R 125.00"
"AMP-ACJD-RED","ACJD-RED","Amphenol RCA, chassis mount, gold plated contacts,red insulator","203","R 125.00"
"AMP-ACJD-WHT","ACJD-WHT","Amphenol RCA, chassis mount, gold plated contacts,white insulator","142","R 125.00"
"AMP-ACJD-YEL","ACJD-YEL","Amphenol RCA, chassis mount, gold plated contacts,yellow insulator","86","R 125.00"
"AMP-ACJM-MC","ACJM-MC","Amphenol Mono Jack Chassis Female Metal Nut","0","R 25.00"
"AMP-ACJR-BLK","ACJR-BLK","Amphenol RCA female, inline, gold plated contacts, black","259","R 68.00"
"AMP-ACJR-RED","ACJR-RED","Amphenol RCA female, inline, gold plated contacts, red","284","R 68.00"
"AMP-ACJR-WHT","ACJR-WHT","Amphenol RCA female, inline, gold plated contacts, white","184","R 68.00"
"AMP-ACJR-YEL","ACJR-YEL","Amphenol RCA female, inline, gold plated contacts, yellow","0","R 68.00"
"AMP-ACJS-MC","ACJS-MC","Amphenol Stereo Jack Chassis Metal Nut","0","R 24.00"
"AMP-ACJS-MH","ACJS-MH","Amphenol Stereo Jack Chassis Metal Nut PCB","0","R 24.00"
"AMP-ACJS-PC","ACJS-PC","Amphenol Stereo Jack Chassis Plastic Nut","0","R 24.00"
"AMP-ACJS-PH","ACJS-PH","Amphenol Stereo Jack Chassis Plastic Nut PCB","0","R 24.00"
"AMP-AC-NUT-BLU","AC-NUT-BLU","Amphenol Blue Coloured Boot/Backshell","0","R 22.00"
"AMP-AC-NUT-BRN","AC-NUT-BRN","Amphenol Brown Coloured Boot/Backshell","60","R 22.00"
"AMP-AC-NUT-GRN","AC-NUT-GRN","Amphenol Green Coloured Boot/Backshell","0","R 22.00"
"AMP-AC-NUT-GRY","AC-NUT-GRY","Amphenol Grey Coloured Boot/Backshell","0","R 22.00"
"AMP-AC-NUT-J-BLK","AC-NUT-J-BLK","Amphenol Black Coloured 8.5mm GROMMET 100/BOX","0","R 22.00"
