"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"AMP-AC-GROMMET-GRN","AC-GROMMET-GRN","Amphenol Green Coloured Grommet to suit AC, T and M series","171","R 09.00"
"AMP-AC-GROMMET-GRY","AC-GROMMET-GRY","Amphenol Grey Coloured Grommet to suit AC, T and M series","1373","R 09.00"
"AMP-AC-GROMMET-ORG","AC-GROMMET-ORG","Amphenol Orange Coloured Grommet to suit AC, T and M series","229","R 09.00"
"AMP-AC-GROMMET-RED","AC-GROMMET-RED","Amphenol Red Coloured Grommet to suit AC, T and M series","60","R 09.00"
"AMP-AC-GROMMET-VIO","AC-GROMMET-VIO","Amphenol Violet Coloured Grommet to suit AC, T and M series","0","R 09.00"
"AMP-AC-GROMMET-WHT","AC-GROMMET-WHT","Amphenol White Coloured Grommet to suit AC, T and M series","93","R 09.00"
"AMP-AC-GROMMET-YEL","AC-GROMMET-YEL","Amphenol Yellow Coloured Grommet to suit AC, T and M series","60","R 09.00"
"AMP-AC-HDMI-RR","AC-HDMI-RR","Amphenol HDMI-HDMI Feedthrough D Type panel mount (Nickel)","25","R 195.00"
"AMP-AC-HDMI-RRB","AC-HDMI-RRB","Amphenol HDMI-HDMI Feedthrough D Type panel mount (Black)","0","R 195.00"
"AMP-ACJD-BLK","ACJD-BLK","Amphenol RCA, chassis mount, gold plated contacts,black insulator","150","R 125.00"
"AMP-ACJD-RED","ACJD-RED","Amphenol RCA, chassis mount, gold plated contacts,red insulator","203","R 125.00"
"AMP-ACJD-WHT","ACJD-WHT","Amphenol RCA, chassis mount, gold plated contacts,white insulator","142","R 125.00"
"AMP-ACJD-YEL","ACJD-YEL","Amphenol RCA, chassis mount, gold plated contacts,yellow insulator","86","R 125.00"
"AMP-ACJM-MC","ACJM-MC","Amphenol Mono Jack Chassis Female Metal Nut","0","R 25.00"
"AMP-ACJR-BLK","ACJR-BLK","Amphenol RCA female, inline, gold plated contacts, black","259","R 68.00"
"AMP-ACJR-RED","ACJR-RED","Amphenol RCA female, inline, gold plated contacts, red","284","R 68.00"
"AMP-ACJR-WHT","ACJR-WHT","Amphenol RCA female, inline, gold plated contacts, white","184","R 68.00"
"AMP-ACJR-YEL","ACJR-YEL","Amphenol RCA female, inline, gold plated contacts, yellow","0","R 68.00"
"AMP-ACJS-MC","ACJS-MC","Amphenol Stereo Jack Chassis Metal Nut","0","R 24.00"
"AMP-ACJS-MH","ACJS-MH","Amphenol Stereo Jack Chassis Metal Nut PCB","0","R 24.00"
"AMP-ACJS-PC","ACJS-PC","Amphenol Stereo Jack Chassis Plastic Nut","0","R 24.00"
"AMP-ACJS-PH","ACJS-PH","Amphenol Stereo Jack Chassis Plastic Nut PCB","0","R 24.00"
"AMP-AC-NUT-BLU","AC-NUT-BLU","Amphenol Blue Coloured Boot/Backshell","0","R 22.00"
"AMP-AC-NUT-BRN","AC-NUT-BRN","Amphenol Brown Coloured Boot/Backshell","60","R 22.00"
"AMP-AC-NUT-GRN","AC-NUT-GRN","Amphenol Green Coloured Boot/Backshell","0","R 22.00"
"AMP-AC-NUT-GRY","AC-NUT-GRY","Amphenol Grey Coloured Boot/Backshell","0","R 22.00"
"AMP-AC-NUT-J-BLK","AC-NUT-J-BLK","Amphenol Black Coloured 8.5mm GROMMET 100/BOX","0","R 22.00"
"AMP-AC-NUT-METAL","AC-NUT-METAL","Amphenol Metal Backshell","144","R 150.00"
"AMP-AC-NUT-ORG","AC-NUT-ORG","Amphenol Orange Coloured Boot/Backshell","0","R 22.00"
"AMP-AC-NUT-RED","AC-NUT-RED","Amphenol Red Coloured Boot/Backshell","4","R 22.00"
"AMP-AC-NUT-VIO","AC-NUT-VIO","Amphenol Violet Coloured Boot/Backshell","20","R 22.00"
"AMP-AC-NUT-WHT","AC-NUT-WHT","Amphenol White Coloured Boot/Backshell","54","R 22.00"
"AMP-AC-NUT-YEL","AC-NUT-YEL","Amphenol Yellow Coloured Boot/Backshell","36","R 22.00"
"AMP-ACPM-GB","ACPM-GB","Amphenol Mono Jack Plug Diecast Shell Blck","0","R 62.00"
"AMP-ACPM-GN","ACPM-GN","Amphenol Mono Jack Plug Diecast Shell Sil","0","R 60.00"
"AMP-ACPM-KN","ACPM-KN","Amphenol M-SERIES II Mono Jack Plug Diecast Shell Sil","149","R 70.00"
"AMP-ACPM-RB","ACPM-RB","Amphenol Mono Jack Plug Diecast Shell Nickel 90deg angle","0","R 71.00"
"AMP-ACPM-RN","ACPM-RN","Amphenol Mono Jack Plug Diecast Shell Black 90deg angle","6","R 70.00"
"AMP-ACPR-BLK","ACPR-BLK","Amphenol RCA male, inline, gold plated contact, black","64","R 67.00"
"AMP-ACPR-RED","ACPR-RED","Amphenol RCA male, inline, gold plated contact, red","126","R 67.00"
"AMP-ACPR-WHT","ACPR-WHT","Amphenol RCA male, inline, gold plated contact, white","0","R 67.00"
"AMP-ACPR-YEL","ACPR-YEL","Amphenol RCA male, inline, gold plated contact, yellow","1","R 67.00"
"AMP-ACPS-GB","ACPS-GB","Amphenol Stereo Jack Plug Diecast Shell Blck","339","R 77.00"
"AMP-ACPS-GN","ACPS-GN","Amphenol Stereo Jack Plug Diecast Shell Sil","0","R 76.00"
"AMP-ACPS-KN","ACPS-KN","Amphenol M-SERIES II Stereo Jack Plug Diecast Shell Sil","625","R 84.00"
"AMP-ACPS-RB","ACPS-RB","Amphenol Stereo Jack Plug Diecast Shell Nickel 90deg angle","0","R 92.00"
"AMP-ACPS-RN","ACPS-RN","Amphenol Stereo Jack Plug Diecast Shell Black 90deg angle","68","R 91.00"
"AMP-AX3M","AX3M","Amphenol Male XLR 3 Inline, Chuck style cable clamp, Nickel","2014","R 83.00"
"AMP-AX5F","AX5F","Amphenol Female XLR 5 Inline, Machined contacts, Nickel finish","0","R 199.00"
"AMP-AX5M","AX5M","Amphenol Male XLR 5 Inline, Machined contacts, Nickel finish","0","R 116.00"
"AMP-AXX3F","AXX3F","Amphenol Female XLR 3 Inline, Chuck style cable clamp, Nickel (NEW second generation)","2575","R 91.00"
"AMP-EP-5-12","EP-5-12","#Amphenol EP Male inline, machined contacts, metal shell","4","R 347.00"
"AMP-EP-5-13P","EP-5-13P","#Amphenol EP Female chassis mount connector, round flange,machined","39","R 401.00"
"AMP-HP3F","HP3F","Amphenol HP Blue 3 pole inline","302","R 143.00"
"AMP-HP3FG","HP3FG","Amphenol HP Grey 3 pole inline","163","R 141.00"
"AMP-HP3MD","HP3MD","Amphenol 3 pole, Chassis connector D type keyed for power-in","88","R 62.00"
"AMP-HP3MDG","HP3MDG","Amphenol 3 pole Grey Chassis connector D type keyed for power-out","47","R 62.00"
"AMP-HPT3F","HPT3F","Amphenol HPT-3-F outlet inline","0","R 206.00"
"AMP-HPT3M","HPT3M","Amphenol HPT-3-M inlet inline","0","R 197.00"
"AMP-KM2P","KM2P","Amphenol 3.5mm Mono Phone plug, Diecast Shell, Satin finish","109","R 63.00"
"AMP-KS3P","KS3P","Amphenol 3.5mm Stereo Phone plug, Diecast Shell, Satin finish","305","R 71.00"
"AMP-KS3PB","KS3PB","Amphenol 3.5mm Stereo Phone plug, Diecast Shell, Black finish","0","R 73.00"
"AMP-RJX8FD5T","RJX8FD5T","Amphenol XLRnet D Type Feed through CAT5E","0","R 280.00"
"AMP-RJX8FD6I","RJX8FD6I","Amphenol XLRnet D Type IDC punch down terminals CAT6","132","R 299.00"
"AMP-RJX8M","RJX8M","Amphenol XLRnet, XLR cable plug housing to suit preassembled RJ45, Nickel","7","R 108.00"
"AMP-SP2F","SP2F","Amphenol Speaker Plug 2 Pole","705","R 122.00"
"AMP-SP2MD","SP2MD","Amphenol Speaker Plug 2 pole, D flange, Thru holes, Solder tabs","0","R 50.00"
"AMP-SP4F","SP4F","Amphenol Speaker Plug 4 Pole","977","R 145.00"
"AMP-SP4FL","SP4FL","Amphenol 4 pole, Cable connector shell, Blue sleeve, PG Gland, Black","0","R 226.00"
"AMP-SP4FN","SP4FN","Amphenol Speaker Plug 4 Pole Metal nickel shell","0","R 204.00"
"AMP-SP4FNSG","SP4FNSG","Amphenol Speaker Plug 4 Pole Metal nickel shell PG Gland","17","R 224.00"
"AMP-SP4MC","SP4MC","Amphenol Speaker panel mount 4 Pole connector (round, solder termination)","253","R 140.00"
"AMP-SP4MD","SP4MD","Amphenol Speaker Plug 4 pole, D flange, Thru holes, Solder tabs","0","R 61.00"
"AMP-TM1P","TM1P","Amphenol SwitchPlug 1/4" (6.35mm) Mono Phone plug","0","R 272.00"
"AMP-TM1RJ","TM1RJ","Amphenol SwitchPlug 1/4" (6.35mm) Mono Phone plug, Right angle","57","R 305.00"
"AMP-TM2P","TM2P","Amphenol Mono Jack diecast, Thermoplastic Back, Satin finish","606","R 106.00"
"AMP-TM2PB","TM2PB","Amphenol Mono Jack diecast, Thermoplastic Back, Black finish","0","R 108.00"
"AMP-TM2PBJ","TM2PBJ","Amphenol Mono Jack diecast, Thermoplastic back, black, L JAWS","0","R 108.00"
"AMP-TM2PJ","TM2PJ","Amphenol Mono Jack diecast, Thermoplastic Back, Satin, L JAWS","0","R 106.00"
"AMP-TS3P","TS3P","Amphenol Stereo Jack Thermo Back Sil Case","730","R 112.00"
"AMP-TS3PB","TS3PB","Amphenol Stereo Jack Thermo Back Blck Case","0","R 113.00"
